[
Date: 2020-12-03T11:01:39Z , Country: Russian Federation , NewConfirmed: 25043 , TotalConfirmed: 2327105 , NewDeaths: 580 , 
Date: 2020-12-03T11:01:39Z , Country: Rwanda , NewConfirmed: 46 , TotalConfirmed: 5994 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Réunion , NewConfirmed: 0 , TotalConfirmed: 0 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Saint Kitts and Nevis , NewConfirmed: 0 , TotalConfirmed: 22 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Saint Lucia , NewConfirmed: 2 , TotalConfirmed: 261 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Saint Vincent and Grenadines , NewConfirmed: 0 , TotalConfirmed: 85 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: San Marino , NewConfirmed: 37 , TotalConfirmed: 1687 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Sao Tome and Principe , NewConfirmed: 1 , TotalConfirmed: 997 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Saudi Arabia , NewConfirmed: 249 , TotalConfirmed: 357872 , NewDeaths: 12 , 
Date: 2020-12-03T11:01:39Z , Country: Senegal , NewConfirmed: 66 , TotalConfirmed: 16173 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Serbia , NewConfirmed: 7919 , TotalConfirmed: 191356 , NewDeaths: 52 , 
Date: 2020-12-03T11:01:39Z , Country: Seychelles , NewConfirmed: 0 , TotalConfirmed: 183 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Sierra Leone , NewConfirmed: 3 , TotalConfirmed: 2416 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Singapore , NewConfirmed: 2 , TotalConfirmed: 58230 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Slovakia , NewConfirmed: 2043 , TotalConfirmed: 109226 , NewDeaths: 30 , 
Date: 2020-12-03T11:01:39Z , Country: Slovenia , NewConfirmed: 2431 , TotalConfirmed: 79566 , NewDeaths: 57 , 
Date: 2020-12-03T11:01:39Z , Country: Solomon Islands , NewConfirmed: 0 , TotalConfirmed: 17 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Somalia , NewConfirmed: 74 , TotalConfirmed: 4525 , NewDeaths: 8 , 
Date: 2020-12-03T11:01:39Z , Country: South Africa , NewConfirmed: 4173 , TotalConfirmed: 796472 , NewDeaths: 65 , 
Date: 2020-12-03T11:01:39Z , Country: South Sudan , NewConfirmed: 7 , TotalConfirmed: 3118 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Spain , NewConfirmed: 9331 , TotalConfirmed: 1665775 , NewDeaths: 273 , 
Date: 2020-12-03T11:01:39Z , Country: Sri Lanka , NewConfirmed: 878 , TotalConfirmed: 25410 , NewDeaths: 2 , 
Date: 2020-12-03T11:01:39Z , Country: Sudan , NewConfirmed: 209 , TotalConfirmed: 18254 , NewDeaths: 10 , 
Date: 2020-12-03T11:01:39Z , Country: Suriname , NewConfirmed: 1 , TotalConfirmed: 5320 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Swaziland , NewConfirmed: 13 , TotalConfirmed: 6455 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Sweden , NewConfirmed: 5400 , TotalConfirmed: 266158 , NewDeaths: 174 , 
Date: 2020-12-03T11:01:39Z , Country: Switzerland , NewConfirmed: 4786 , TotalConfirmed: 335660 , NewDeaths: 105 , 
Date: 2020-12-03T11:01:39Z , Country: Syrian Arab Republic (Syria) , NewConfirmed: 86 , TotalConfirmed: 8059 , NewDeaths: 4 , 
Date: 2020-12-03T11:01:39Z , Country: Taiwan, Republic of China , NewConfirmed: 6 , TotalConfirmed: 685 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Tajikistan , NewConfirmed: 38 , TotalConfirmed: 12269 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Tanzania, United Republic of , NewConfirmed: 0 , TotalConfirmed: 509 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Thailand , NewConfirmed: 0 , TotalConfirmed: 4026 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Timor-Leste , NewConfirmed: 1 , TotalConfirmed: 31 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Togo , NewConfirmed: 17 , TotalConfirmed: 3014 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Trinidad and Tobago , NewConfirmed: 19 , TotalConfirmed: 6704 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Tunisia , NewConfirmed: 2511 , TotalConfirmed: 99280 , NewDeaths: 99 , 
Date: 2020-12-03T11:01:39Z , Country: Turkey , NewConfirmed: 31923 , TotalConfirmed: 700880 , NewDeaths: 193 , 
Date: 2020-12-03T11:01:39Z , Country: Uganda , NewConfirmed: 374 , TotalConfirmed: 21409 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Ukraine , NewConfirmed: 13443 , TotalConfirmed: 778560 , NewDeaths: 178 , 
Date: 2020-12-03T11:01:39Z , Country: United Arab Emirates , NewConfirmed: 1285 , TotalConfirmed: 171434 , NewDeaths: 4 , 
Date: 2020-12-03T11:01:39Z , Country: United Kingdom , NewConfirmed: 16237 , TotalConfirmed: 1663467 , NewDeaths: 648 , 
Date: 2020-12-03T11:01:39Z , Country: United States of America , NewConfirmed: 200070 , TotalConfirmed: 13921374 , NewDeaths: 3157 , 
Date: 2020-12-03T11:01:39Z , Country: Uruguay , NewConfirmed: 201 , TotalConfirmed: 6225 , NewDeaths: 2 , 
Date: 2020-12-03T11:01:39Z , Country: Uzbekistan , NewConfirmed: 59 , TotalConfirmed: 73335 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Vanuatu , NewConfirmed: 0 , TotalConfirmed: 1 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Venezuela (Bolivarian Republic) , NewConfirmed: 446 , TotalConfirmed: 103067 , NewDeaths: 4 , 
Date: 2020-12-03T11:01:39Z , Country: Viet Nam , NewConfirmed: 7 , TotalConfirmed: 1358 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Western Sahara , NewConfirmed: 0 , TotalConfirmed: 10 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Yemen , NewConfirmed: 20 , TotalConfirmed: 2217 , NewDeaths: 2 , 
Date: 2020-12-03T11:01:39Z , Country: Zambia , NewConfirmed: 35 , TotalConfirmed: 17700 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Zimbabwe , NewConfirmed: 0 , TotalConfirmed: 10129 , NewDeaths: 0 ]
